title;start;inputRevision;CESandGDXversion;CES_parameters;optimization;slurmConfig;cm_optimisticMAC;cm_Industry_CCS_markup;cm_indCCSlimit;cm_VRE_supply_assumptions;cm_CESMkup_ind;cm_CESMkup_ind_data;regionmapping;extramappings_historic;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;c_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergy_SustTax;cm_maxProdBiolc;c_ccsinjecratescen;c_ccscapratescen;cm_CESMkup_build;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost
SSP2EU-NPi-calibrate;calib;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;calibrate;;5;;off;;;standard;;;;rcp45;;;0;NPi;1;2100;;9;;;;;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;;;;;;;;;;3;;;;;;heat;Mix1;2005;;;;
SSP2EU-NPi;NPi,run;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;;;5;;off;;;standard;;;;rcp45;3;;0;NPi;1;2100;;9;;;;;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;;;;;;;;;;3;;;;;;heat;Mix1;2005;SSP2EU-NPi-calibrate;;;
SSP2EU-PkBudg650;budg,run;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;;;5;;off;;;standard;;;;rcp20;9;globallyOptimal;650;diffCurvPhaseIn2Lin;100;2080;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;SSP2EU-NPi;SSP2EU-NPi;SSP2EU-NPi;
SSP2EU-PkBudg1050;budg,run;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;;;5;;off;;;standard;;;;rcp26;9;globallyOptimal;1050;diffCurvPhaseIn2Lin;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-NPi;SSP2EU-NPi;SSP2EU-NPi;
SSP2EU-CarbonPrice650;cp,run;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;;;5;;off;;;standard;;;;rcp20;0;globallyOptimal;650;exogenous;100;2080;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;SSP2EU-PkBudg650;SSP2EU-PkBudg650;SSP2EU-NPi;
SSP2EU-CarbonPrice1050;cp,run;6.75-indccslim3;54a2d401b54f871099e18119547df777bf7fa2c2;;;5;;off;;;standard;;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;
SSP2EU-highME-NPi-calibrate;calib;6.75-indccslim3-highME-mod;844f61d4dfbe301cba9415f19144f27467609371;calibrate;;5;;off;;;standard;;;;rcp45;;;0;NPi;1;2100;;9;;;;;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;;;;;;;;;;3;;;;;;heat;Mix1;2005;;;;
SSP2EU-highME-NPi;NPi,run;6.75-indccslim3-highME-mod;c2eeb99bdc0ba4eac0a81df5f9e4e95bee946835;;;5;;off;;;standard;;;;rcp45;3;;0;NPi;1;2100;;9;;;;;;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;;;;;;;;;;3;;;;;;heat;Mix1;2005;SSP2EU-highME-NPi-calibrate;;;
SSP2EU-highME-PkBudg650;budg,run;6.75-indccslim3-highME-mod;c2eeb99bdc0ba4eac0a81df5f9e4e95bee946835;;;5;;off;;;standard;;;;rcp20;9;globallyOptimal;650;diffCurvPhaseIn2Lin;100;2080;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;SSP2EU-highME-NPi;SSP2EU-highME-NPi;SSP2EU-highME-NPi;
SSP2EU-highME-PkBudg1050;budg,run;6.75-indccslim3-highME-mod;c2eeb99bdc0ba4eac0a81df5f9e4e95bee946835;;;5;;off;;;standard;;;;rcp26;9;globallyOptimal;1050;diffCurvPhaseIn2Lin;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-highME-NPi;SSP2EU-highME-NPi;SSP2EU-highME-NPi;
